id|title|original_language|runtime|revenue|genre|release_date|production_country|dir_id|vote_average|vote_count|production_company
114|Pretty Woman|en|(118,131]|4.63e+08|Romance|1990|United States of America|66|6|1590|Touchstone Pictures
115|The Big Lebowski|en|(110,118]|46189568|Comedy|1998|United Kingdom|67|7|2712|Gramercy Pictures
116|Match Point|en|(118,131]|85306374|Drama|2005|Ireland|68|7|1007|DreamWorks
117|The Untouchables|en|(118,131]|76270454|Crime|1987|United States of America|63|7|1269|Paramount Pictures
118|Charlie and the Chocolate Factory|en|(110,118]|474968763|Adventure|2005|Australia|39|6|3184|Village Roadshow Pictures
120|The Lord of the Rings: The Fellowship of the Ring|en|(131,240]|871368364|Adventure|2001|New Zealand|69|7|8127|WingNut Films
121|The Lord of the Rings: The Two Towers|en|(131,240]|926287400|Adventure|2002|New Zealand|69|7|6969|WingNut Films
122|The Lord of the Rings: The Return of the King|en|(131,240]|1118888979|Adventure|2003|New Zealand|69|8|7540|WingNut Films
123|The Lord of the Rings|en|(131,240]|30471420|Fantasy|1978|United States of America|70|6|167|United Artists
128|Princess Mononoke|ja|(131,240]|159375308|Adventure|1997|Japan|44|8|1795|Miramax Films
129|Spirited Away|ja|(118,131]|274925095|Fantasy|2001|Japan|44|8|3472|Studio Ghibli
134|O Brother, Where Art Thou?|en|(104,110]|7.1e+07|Action|2000|France|67|7|1035|Universal Pictures
137|Groundhog Day|en|(99,104]|70906973|Romance|1993|United States of America|75|7|2164|Columbia Pictures
138|Dracula|en|(0.761,88]|1012189|Horror|1931|United States of America|74|7|233|Universal Pictures
140|Bad Education|es|(104,110]|40266982|Crime|2004|Spain|32|6|193|Television Espanola TVE
141|Donnie Darko|en|(110,118]|1270522|Fantasy|2001|United States of America|77|7|3127|Pandora Cinema
142|Brokeback Mountain|en|(131,240]|178043761|Drama|2005|Canada|78|7|1342|River Road Entertainment
144|Wings of Desire|de|(118,131]|3200000|Drama|1987|Germany|80|7|238|Road Movies Filmproduktion GmbH
145|Breaking the Waves|da|(131,240]|3803298|Drama|1996|Denmark|11|7|192|Trust Film
146|Crouching Tiger, Hidden Dragon|zh|(118,131]|213525736|Adventure|2000|China|78|7|869|Sony Pictures Classics
149|Akira|ja|(118,131]|553171|Science Fiction|1988|Japan|24|7|710|Bandai Visual Company
150|48 Hrs.|en|(94,99]|78868508|Thriller|1982|United States of America|82|6|335|Paramount Pictures
